2012-11-16 09:59:03 Notice: Notice (8): Undefined property: Block::$Region in [/home/blabincc/erp.blabinc.com/app/controllers/components/croogo.php, line 143]
2012-11-16 10:00:13 Notice: Notice (8): Undefined property: Block::$Region in [/home/blabincc/erp.blabinc.com/app/controllers/components/croogo.php, line 143]
2012-11-16 10:00:16 Notice: Notice (8): Undefined property: Block::$Region in [/home/blabincc/erp.blabinc.com/app/controllers/components/croogo.php, line 143]
2012-11-16 10:00:33 Notice: Notice (8): Undefined property: Block::$Region in [/home/blabincc/erp.blabinc.com/app/controllers/components/croogo.php, line 143]
2012-11-16 10:01:02 Notice: Notice (8): Undefined property: Block::$Region in [/home/blabincc/erp.blabinc.com/app/controllers/components/croogo.php, line 143]
2012-11-16 10:02:10 Notice: Notice (8): Undefined property: Block::$Region in [/home/blabincc/erp.blabinc.com/app/controllers/components/croogo.php, line 143]
2012-11-16 10:02:38 Notice: Notice (8): Undefined property: Block::$Region in [/home/blabincc/erp.blabinc.com/app/controllers/components/croogo.php, line 143]
2012-11-16 10:03:05 Notice: Notice (8): Undefined property: Block::$Region in [/home/blabincc/erp.blabinc.com/app/controllers/components/croogo.php, line 143]
2012-11-16 10:28:20 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 10:32:15 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 10:33:40 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 10:33:55 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 10:34:13 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:18:45 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:18:46 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:18:46 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:18:46 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:18:49 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:18:49 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:18:49 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:18:49 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:20:58 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:21:10 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:25:02 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
2012-11-16 11:25:03 Notice: Notice (8): Undefined index: Block in [/home/blabincc/erp.blabinc.com/app/controllers/blocks_controller.php, line 83]
